surname,per100k
smith,791.2
johnson,626.1
williams,526.4
brown,465.4
jones,461.7
garcia,377.7
miller,376.2
davis,361.5
rodriguez,354.6
martinez,343.4
hernandez,337.9
lopez,283.2
gonzalez,272.4
wilson,259.7
anderson,254.1
thomas,244.9
taylor,243.3
moore,234.7
jackson,229.4
martin,227.7
lee,224.4
perez,210.1
thompson,209.8
white,206.7
harris,202.2
sanchez,194.5
clark,188.6
ramirez,186.7
lewis,186.1
robinson,185.4
walker,180.8
young,177.3
allen,175.1
king,174.0
wright,162.8
scott,160.7
torres,159.9
nguyen,122.7
hill,150.6
flores,148.2
green,145.3
adams,143.1
nelson,140.4
baker,139.2
hall,138.0
rivera,136.5
campbell,133.7
mitchell,130.9
carter,128.4
roberts,126.2
gomez,120.5
phillips,118.3
evans,116.1
turner,114.0
diaz,112.4
parker,110.2
cruz,108.6
edwards,106.3
collins,104.1
reyes,102.5
stewart,101.3
morris,100.5
morales,98.2
murphy,96.4
cook,94.1
rogers,92.3
gutierrez,90.5
ortiz,88.2
morgan,86.4
cooper,84.1
peterson,82.3
bailey,80.5
reed,78.2
kelly,76.4
howard,74.1
ramos,72.3
cox,68.2
ward,66.4
richardson,64.1
watson,62.3
brooks,60.5
chavez,58.2
wood,56.4
james,54.1
patel,53.4
kim,52.6
bennett,50.2
wang,48.3
gray,46.1
mendoza,44.3
ruiz,42.5
hughes,40.2
price,38.4
alvarez,36.1
castillo,34.3
sanders,32.6
chen,31.8
